country_year_id,umap_1,umap_2
Austria_2024_5645,-0.50651187,10.662165
Austria_2024_5697,0.65943646,11.791084
Austria_2024_5847,5.9578905,11.296446
Austria_2024_5902,6.9009814,6.1570787
Austria_2024_6120,10.898311,8.072535
Austria_2024_6240,4.3239064,0.44857275
Austria_2024_6297,11.049671,6.843998
Austria_2024_6319,3.188834,7.1385503
Austria_2024_6452,0.7991245,12.703641
Austria_2024_6464,2.545331,6.663455
Austria_2024_6557,0.13257368,11.372921
Austria_2024_6638,11.565196,4.738411
Austria_2024_6650,-0.3167934,12.742767
Austria_2024_6666,1.5007477,7.559138
Austria_2024_6769,7.3590865,5.35893
Austria_2024_6861,9.719105,7.0883055
Austria_2024_6964,9.623311,10.928089
Austria_2024_7005,3.1700232,6.7239265
Austria_2024_7054,4.8593903,8.59966
Austria_2024_7055,8.475091,7.2719607
Austria_2024_7091,3.9976377,7.015936
Austria_2024_7097,8.801353,10.643432
Austria_2024_7527,3.6323173,0.9610226
Austria_2024_7538,3.5126004,13.183315
Austria_2024_7564,11.375786,9.969787
Austria_2024_7677,10.161512,7.9555173
Austria_2024_7789,11.995085,5.083938
Austria_2024_7816,-0.21922131,11.744267
Austria_2024_8092,10.388555,7.835033
Austria_2024_8117,1.5155782,9.943612
Austria_2024_8214,7.4589143,5.9807444
Austria_2024_8282,5.9794145,11.494574
Austria_2024_8427,3.4963274,6.5273414
Austria_2024_8429,5.4915433,8.168092
Austria_2024_8483,4.492615,10.469635
Austria_2024_8545,5.0968084,9.483834
Austria_2024_8606,4.7535,12.209403
Austria_2024_9028,3.3329027,13.037812
Austria_2024_9050,3.446114,5.991829
Austria_2024_9265,10.105689,11.150281
Austria_2024_9353,6.585513,7.0932226
Austria_2024_9733,-0.01378546,11.478967
Austria_2024_9936,3.554789,0.6420612
Austria_2024_10091,1.1758735,11.810198
Austria_2024_10267,2.7205696,13.674909
Austria_2024_10340,1.8242959,9.428464
Austria_2024_10525,2.3135633,9.84387
Austria_2024_10576,5.4112506,8.811744
Austria_2024_10718,1.3734486,7.7431693
Austria_2024_10733,7.2149386,9.510336
Austria_2024_10829,5.7481833,11.293846
Austria_2024_10901,10.965036,9.54271
Austria_2024_11004,4.228406,1.6156925
Austria_2024_11096,10.78727,9.306489
Austria_2024_11184,4.847714,5.14481
Austria_2024_11200,6.0654726,2.4245389
Austria_2024_11216,0.3776773,10.846789
Austria_2024_11226,8.542889,4.733282
Austria_2024_11413,7.52819,9.242988
Austria_2024_11432,4.21114,9.333529
Austria_2024_11436,8.897578,10.93761
Austria_2024_11450,6.108457,11.697375
Austria_2024_11748,6.2177587,9.4333315
Austria_2024_11816,9.782528,7.926233
Austria_2024_11827,5.5112333,8.433416
Austria_2024_11855,11.685634,7.5408945
Austria_2024_11874,2.3596923,10.976949
Austria_2024_12130,6.299707,11.613808
