country_year_id,umap_1,umap_2
Austria_2024_10256,-1.7401979,9.054592
Austria_2024_10463,2.5151298,4.8406787
Austria_2024_10479,7.2883368,5.0027843
Austria_2024_10608,4.4913807,12.770478
Austria_2024_10648,-1.839202,8.446262
Austria_2024_10668,0.3131042,12.218153
Austria_2024_10812,-1.3272336,10.087514
Austria_2024_10941,5.8316774,12.185456
Austria_2024_11120,-0.7200885,10.450218
Austria_2024_11143,-1.3175864,8.031612
Austria_2024_11246,4.1434755,5.4490304
Austria_2024_11264,-0.57528186,11.260212
Austria_2024_11333,7.1760173,3.982665
Austria_2024_11386,7.772354,11.325528
Austria_2024_11411,7.5924864,12.320259
Austria_2024_11430,-0.5723108,11.361603
Austria_2024_11464,7.230932,12.070212
Austria_2024_11694,3.1465101,6.4080563
Austria_2024_11708,7.482654,2.8761623
Austria_2024_11779,9.079128,2.504504
Austria_2024_11840,-1.1038599,8.235557
Austria_2024_11908,-0.16991788,11.008173
Austria_2024_12184,2.9489245,11.489151
Austria_2024_12282,6.9169006,12.70746
Austria_2024_12299,1.2829481,4.3647957
Austria_2024_12495,1.7187184,10.378017
Austria_2024_12580,7.4894753,10.600265
Austria_2024_12633,1.9775441,4.3832383
Austria_2024_12678,0.18933293,7.304198
Austria_2024_12809,2.2578108,4.636241
Austria_2024_12953,8.948885,12.476584
Austria_2024_13044,9.561026,4.840775
Austria_2024_13053,-1.1385795,10.262427
Austria_2024_13247,3.0018694,5.916836
Austria_2024_13321,8.781952,2.1861274
Austria_2024_13371,7.632128,6.2606897
Austria_2024_13375,4.8227386,6.84071
Austria_2024_13660,2.464954,9.056564
Austria_2024_13664,6.0219984,13.625811
Austria_2024_13917,1.0563012,10.0638685
Austria_2024_14702,6.3955336,10.380955
Austria_2024_14788,6.867207,12.120948
Austria_2024_14999,4.14038,5.3954916
Austria_2024_15183,5.9494786,8.189359
Austria_2024_15258,2.9037108,10.221885
Austria_2024_15296,1.9352502,7.534023
Austria_2024_15301,4.536684,10.057197
Austria_2024_15481,7.800218,11.083298
Austria_2024_15546,3.946053,8.190377
Austria_2024_15883,0.6314627,7.768628
Austria_2024_15996,9.459067,7.4185452
Austria_2024_16000,3.401641,10.269154
Austria_2024_16011,6.5117316,8.318182
Austria_2024_16184,0.82663685,8.648934
Austria_2024_16253,0.6935191,10.191637
Austria_2024_16412,0.23730114,11.449252
Austria_2024_16438,-2.0264714,7.973397
Austria_2024_16492,4.428468,10.26251
Austria_2024_16654,-1.7600999,8.977848
Austria_2024_16732,7.4685793,6.979734
Austria_2024_16909,-0.56930536,8.04357
Austria_2024_17012,0.92686415,10.063777
Austria_2024_17194,8.96042,2.020598
Austria_2024_17280,8.158902,12.16108
Austria_2024_17292,5.683889,4.793755
Austria_2024_17581,-0.4192108,7.9600534
Austria_2024_17766,-1.1366032,9.411909
Austria_2024_17790,0.32700595,9.561209
Austria_2024_17791,5.037137,10.876516
Austria_2024_17860,2.0920732,9.702365
Austria_2024_18005,10.428548,5.1492963
Austria_2024_18201,7.7736154,4.6676455
Austria_2024_18341,7.654443,8.427075
Austria_2024_18512,7.7138057,6.1045585
Austria_2024_18628,2.996617,10.466276
Austria_2024_18630,0.8473598,6.9304233
Austria_2024_18684,3.5970519,11.676381
Austria_2024_18765,8.25844,1.7664136
Austria_2024_19278,-1.0387534,10.276266
Austria_2024_19290,1.0175862,6.5744896
Austria_2024_19317,4.038844,9.733876
Austria_2024_19367,4.2909074,4.9399476
Austria_2024_19374,0.97184616,11.934193
Austria_2024_19817,6.087128,8.099714
Austria_2024_19877,10.455585,11.17741
Austria_2024_19909,6.6720147,9.020551
Austria_2024_19995,2.8173935,9.177326
Austria_2024_19999,-1.7145374,9.165546
Austria_2024_20062,4.8483624,8.213361
Austria_2024_20437,7.8747,12.9801655
Austria_2024_20542,9.775975,5.011856
Austria_2024_20574,4.3463073,8.691049
Austria_2024_20628,-1.5181205,8.994766
Austria_2024_20712,8.09982,6.6214595
Austria_2024_21033,9.230337,10.120428
Austria_2024_21178,2.283973,9.721249
Austria_2024_21226,9.8495245,10.249529
Austria_2024_54,0.6966475,4.3351617
Austria_2024_255,1.543881,7.305531
Austria_2024_288,8.995405,11.228591
Austria_2024_301,6.0891547,12.08121
Austria_2024_312,9.428473,6.72729
Austria_2024_470,4.455399,12.790731
Austria_2024_593,3.3782244,6.6979613
Austria_2024_1161,2.9898958,5.319797
Austria_2024_1193,3.054818,9.542993
Austria_2024_1252,6.9214773,5.694706
Austria_2024_1324,-0.50660276,7.481132
Austria_2024_1529,1.3853974,5.227756
Austria_2024_1825,1.9689695,4.8342347
Austria_2024_2034,-0.41488716,9.305755
Austria_2024_2259,5.506226,6.152787
Austria_2024_2325,6.5819817,11.1641245
Austria_2024_2397,6.0876665,12.069888
Austria_2024_2416,3.7880635,9.341203
Austria_2024_2516,7.4941373,9.027383
Austria_2024_2620,6.0736756,13.053604
Austria_2024_2807,9.80575,4.9344563
Austria_2024_2813,1.403343,9.729956
Austria_2024_2880,8.275291,8.061539
Austria_2024_3106,-1.6733444,8.997841
Austria_2024_3138,11.027786,9.7919
Austria_2024_3175,4.6447654,12.526511
Austria_2024_3195,6.8489604,6.7658935
Austria_2024_3264,8.998869,2.5368516
