country_year_id,umap_1,umap_2
Austria_2024_7858,10.333886,9.654103
Austria_2024_7897,2.435251,9.216775
Austria_2024_8114,6.8278146,6.5461106
Austria_2024_8130,9.199554,9.057539
Austria_2024_8162,9.469187,12.286752
Austria_2024_8247,10.343772,10.442072
Austria_2024_8288,9.337399,5.7941494
Austria_2024_8314,6.7636714,9.789369
Austria_2024_8392,9.984782,8.303071
Austria_2024_8409,10.271314,8.703448
Austria_2024_8439,2.5261114,7.155318
Austria_2024_8473,7.2443357,6.5735364
Austria_2024_8482,4.1210756,5.4582343
Austria_2024_8816,3.0698721,11.552712
Austria_2024_8833,5.797341,6.3447566
Austria_2024_8863,8.619532,5.923038
Austria_2024_8958,12.738076,6.844919
Austria_2024_9147,0.63882107,10.4366665
Austria_2024_9153,8.982499,7.493838
Austria_2024_9185,2.7450793,11.894374
Austria_2024_9229,2.2690735,13.497386
Austria_2024_9284,7.8421893,5.4663353
Austria_2024_9298,4.7755013,10.335295
Austria_2024_9931,0.11661978,10.900894
Austria_2024_10056,7.1999125,12.096658
Austria_2024_10065,9.497897,11.7819395
Austria_2024_10094,10.698037,11.106994
Austria_2024_10125,5.01732,8.238704
Austria_2024_10289,7.154532,7.1697564
Austria_2024_10295,1.6993349,3.1759942
Austria_2024_10416,3.754938,11.921067
Austria_2024_10451,7.411846,10.511297
Austria_2024_10509,8.701209,6.9685793
Austria_2024_10540,11.02302,7.076455
Austria_2024_10772,9.754469,11.285306
Austria_2024_11067,9.908148,9.0738325
Austria_2024_11195,1.2498058,3.172836
Austria_2024_11495,2.9983766,11.292917
Austria_2024_11567,8.385338,8.076038
Austria_2024_11914,2.1904066,2.5208359
Austria_2024_12090,8.165293,9.498534
Austria_2024_12275,6.10294,6.1354966
Austria_2024_12358,0.6612447,11.594807
Austria_2024_12593,4.0638905,12.640628
Austria_2024_12667,0.5245251,8.810584
Austria_2024_12727,5.4844775,7.039975
Austria_2024_12838,3.0693328,1.5790861
Austria_2024_12845,7.3605886,7.062007
Austria_2024_13224,1.6758718,13.09333
Austria_2024_13403,7.8722043,8.426724
Austria_2024_13415,3.541042,8.881917
Austria_2024_13440,5.6933007,10.246431
Austria_2024_13873,7.622815,8.722294
Austria_2024_14021,4.8673286,10.159499
Austria_2024_14076,7.594497,8.147584
Austria_2024_14242,-0.7892965,8.747763
Austria_2024_14253,2.0526152,3.6085365
Austria_2024_14296,2.4199152,8.176004
Austria_2024_14367,7.1906767,5.5586915
Austria_2024_14440,1.5666518,12.696862
Austria_2024_14441,10.115357,8.083526
Austria_2024_14585,5.394775,10.777582
Austria_2024_14822,10.259567,7.2093887
Austria_2024_14885,9.153828,10.069393
Austria_2024_14907,1.3783989,9.728142
Austria_2024_14956,7.758897,6.0124993
Austria_2024_14990,12.659748,7.822144
Austria_2024_15087,12.76335,6.8206534
Austria_2024_15189,12.83996,8.416317
Austria_2024_15199,9.052394,12.643725
Austria_2024_15205,2.5676835,7.8214364
Austria_2024_15213,11.710925,10.00715
Austria_2024_15289,1.5493531,8.150102
Austria_2024_15311,3.2853584,7.7350297
Austria_2024_15343,5.025365,8.805129
Austria_2024_15373,9.344913,10.584239
Austria_2024_15517,3.6211333,6.8837056
Austria_2024_15594,6.364129,12.977336
Austria_2024_15628,4.6253924,8.672323
Austria_2024_15645,5.929718,6.388851
Austria_2024_15657,3.0727127,6.558488
Austria_2024_15660,8.942766,11.914309
Austria_2024_15691,3.1944425,8.064034
Austria_2024_15729,11.020115,9.521761
Austria_2024_16550,7.6459813,5.659949
Austria_2024_16572,5.0082474,7.4664598
Austria_2024_16598,5.5265408,12.787086
Austria_2024_16767,1.2739301,3.4986336
Austria_2024_16819,11.754926,9.075166
Austria_2024_16960,0.5236102,8.220875
Austria_2024_17073,9.879872,5.7149143
Austria_2024_17128,4.854743,6.442831
Austria_2024_17129,10.676205,6.1820526
Austria_2024_17206,1.5958909,8.174686
Austria_2024_17387,5.229307,10.527692
Austria_2024_17615,4.4938874,11.085786
Austria_2024_17653,2.9881449,12.016965
Austria_2024_17655,3.5260348,6.661084
Austria_2024_17711,10.332152,5.8367906
Austria_2024_17724,9.641508,8.177668
Austria_2024_17853,9.9606085,9.855466
Austria_2024_17876,10.474656,11.118451
Austria_2024_17932,2.5423594,7.0028667
Austria_2024_18563,0.3325856,10.596967
Austria_2024_18604,9.0993185,8.15579
Austria_2024_18648,9.882847,9.548958
Austria_2024_18766,0.68003947,4.192573
Austria_2024_18775,5.7901344,10.848275
Austria_2024_18873,5.804616,7.5827403
Austria_2024_18976,1.9761509,8.509429
Austria_2024_19059,6.299063,10.780438
Austria_2024_19098,10.658082,6.3566527
Austria_2024_19116,8.487016,6.0770116
Austria_2024_19165,7.930327,10.157539
Austria_2024_19344,7.8899965,10.278494
Austria_2024_19400,6.2863135,7.377766
Austria_2024_19450,2.7089705,11.844161
Austria_2024_19526,9.738163,8.563601
