country_year_id,umap_1,umap_2
Austria_2024_7230,11.6253,2.7689173
Austria_2024_7359,2.2408016,1.6276598
Austria_2024_7377,5.13571,1.7873783
Austria_2024_7542,-0.78975755,2.7396376
Austria_2024_7641,11.804061,-0.18596803
Austria_2024_7861,6.945521,1.9670709
Austria_2024_8000,3.7664945,0.33665112
Austria_2024_8113,2.9490716,-3.6021602
Austria_2024_8163,7.8673553,-0.6040773
Austria_2024_8454,2.4279962,-2.5784209
Austria_2024_8624,3.7372696,-3.6943915
Austria_2024_8799,2.053853,1.5955422
Austria_2024_8896,8.864811,-1.910392
Austria_2024_8897,7.19124,-0.10681064
Austria_2024_8977,-0.7068776,1.942498
Austria_2024_8990,2.999326,-0.8329424
Austria_2024_9136,7.780455,-1.1405232
Austria_2024_9149,5.236378,6.919106
Austria_2024_9320,4.111712,8.3619375
Austria_2024_9331,7.5245447,3.8124485
Austria_2024_9528,5.581473,-0.68968743
Austria_2024_9764,0.5055889,2.2398674
Austria_2024_10121,2.167581,0.14974041
Austria_2024_10122,2.2239585,-1.1594064
Austria_2024_10355,3.8445761,0.8152976
Austria_2024_10368,5.501117,-3.0740166
Austria_2024_10631,4.629198,6.912832
Austria_2024_10709,7.724017,0.9968983
Austria_2024_10739,8.275566,-1.0013659
Austria_2024_10972,6.91931,-1.8836246
Austria_2024_11211,9.06935,2.5213392
Austria_2024_11620,8.705293,-0.55052024
Austria_2024_11755,5.438037,6.5786552
Austria_2024_11791,4.7506924,1.3386198
Austria_2024_11819,-1.2817698,1.0937332
Austria_2024_11932,2.3829038,2.064272
Austria_2024_11986,6.2628503,3.0184593
Austria_2024_12028,7.7157097,0.5426008
Austria_2024_12220,4.641766,0.8625103
Austria_2024_12831,2.9053218,1.7844328
Austria_2024_12998,5.1074715,-0.5990088
Austria_2024_13022,8.779667,0.32799888
Austria_2024_13108,7.383561,3.2527437
Austria_2024_13262,-1.7495596,-0.76178104
Austria_2024_13276,7.5972443,-3.2897556
Austria_2024_13278,-0.41759065,3.797919
Austria_2024_13604,6.545678,2.006218
Austria_2024_13866,6.12412,6.9112945
Austria_2024_14090,8.502701,0.6207451
Austria_2024_14120,4.0462523,7.871484
Austria_2024_14271,-0.18169996,-0.55168486
Austria_2024_14375,5.755197,-1.6227088
Austria_2024_14404,4.4359326,-0.35371318
Austria_2024_14405,9.612774,1.0017477
Austria_2024_14462,10.330232,2.9185963
Austria_2024_14696,6.848043,2.783718
Austria_2024_15300,4.5979133,-2.2988002
Austria_2024_15316,4.736172,6.944858
Austria_2024_15392,-0.31407908,2.351583
Austria_2024_15398,4.2192125,4.036559
Austria_2024_15479,5.8746243,1.6705915
Austria_2024_15635,0.5047458,0.9607132
Austria_2024_15802,7.599476,-0.5247121
Austria_2024_15813,6.044211,0.015684519
Austria_2024_15989,0.39754725,1.1723907
Austria_2024_16019,4.3806214,2.1580532
Austria_2024_16083,0.15279286,3.6475165
Austria_2024_16169,1.7886442,-1.8936837
Austria_2024_16170,4.071324,1.1750934
Austria_2024_16211,5.991907,1.6223673
Austria_2024_16262,2.395311,2.5118856
Austria_2024_16467,0.16813938,-1.03677
Austria_2024_16470,0.59914005,2.488961
Austria_2024_16600,3.6279655,8.66742
Austria_2024_16723,9.309588,0.25881222
Austria_2024_16902,2.8001466,1.5513068
Austria_2024_16913,10.331069,0.34796873
Austria_2024_17044,4.2768674,5.710476
Austria_2024_17107,8.385183,-1.0552989
Austria_2024_17302,-0.10838844,0.7662599
Austria_2024_17659,7.0458183,-1.3791604
Austria_2024_17873,4.384375,0.76517296
Austria_2024_18041,6.003326,-2.1076756
Austria_2024_18197,4.5214996,1.2021544
Austria_2024_18340,10.217987,2.2317338
Austria_2024_18433,5.061923,2.9616125
Austria_2024_18485,5.4288807,0.21696836
Austria_2024_18531,3.236872,0.06870302
Austria_2024_19040,6.8225484,3.096759
Austria_2024_19056,-0.3969211,2.8977394
Austria_2024_19267,5.2796082,-2.6327677
Austria_2024_19525,5.6254177,3.2497978
Austria_2024_19624,6.4933195,1.1296641
Austria_2024_20096,2.702823,2.6101434
Austria_2024_20099,7.0754166,3.0610402
